Province,Province_Full,City,Name,Type,Distance (km),Contact
BC,BRITISH COLUMBIA,VANCOUVER,VANCOUVER COMMUNITY SHELTER,SHELTER,2.3,(604)-555-1001
BC,BRITISH COLUMBIA,SURREY,SURREY CIVIC RELIEF CENTRE,SHELTER,3.4,(604)-555-1002
BC,BRITISH COLUMBIA,BURNABY,BURNABY SUPPLY DEPOT,SUPPLIES,4.1,(604)-555-1003
BC,BRITISH COLUMBIA,RICHMOND,RICHMOND GENERAL HOSPITAL,MEDICAL,5.6,(604)-555-1004
BC,BRITISH COLUMBIA,VICTORIA,VICTORIA EMERGENCY SHELTER,SHELTER,2.7,(250)-555-1005
BC,BRITISH COLUMBIA,ABBOTSFORD,ABBOTSFORD RELIEF HUB,SUPPLIES,3.3,(604)-555-1006
BC,BRITISH COLUMBIA,KAMLOOPS,KAMLOOPS SUPPORT CENTRE,SHELTER,4.8,(250)-555-1007
BC,BRITISH COLUMBIA,KELOWNA,KELOWNA RED CROSS STATION,SUPPLIES,3.9,(250)-555-1008
BC,BRITISH COLUMBIA,PRINCE GEORGE,PRINCE GEORGE MEDICAL RELIEF,MEDICAL,6.1,(250)-555-1009
BC,BRITISH COLUMBIA,NANAIMO,NANAIMO RELIEF SHELTER,SHELTER,3.2,(250)-555-1010
BC,BRITISH COLUMBIA,LANGLEY,LANGLEY RELIEF WAREHOUSE,SUPPLIES,4.5,(604)-555-1011
BC,BRITISH COLUMBIA,CHILLIWACK,CHILLIWACK COMMUNITY SHELTER,SHELTER,5.0,(604)-555-1012
BC,BRITISH COLUMBIA,MAPLE RIDGE,MAPLE RIDGE HEALTH CENTRE,MEDICAL,3.8,(604)-555-1013
BC,BRITISH COLUMBIA,COQUITLAM,COQUITLAM CIVIC RELIEF HUB,SUPPLIES,2.9,(604)-555-1014
AB,ALBERTA,CALGARY,CALGARY RELIEF HUB,SUPPLIES,2.9,(403)-555-2001
AB,ALBERTA,EDMONTON,EDMONTON COMMUNITY SHELTER,SHELTER,3.2,(780)-555-2002
AB,ALBERTA,RED DEER,RED DEER MEDICAL CENTRE,MEDICAL,4.4,(403)-555-2003
AB,ALBERTA,LETHBRIDGE,LETHBRIDGE EMERGENCY DEPOT,SUPPLIES,5.2,(403)-555-2004
AB,ALBERTA,MEDICINE HAT,MEDICINE HAT RELIEF SHELTER,SHELTER,6.0,(403)-555-2005
AB,ALBERTA,GRANDE PRAIRIE,GRANDE PRAIRIE HEALTH CENTRE,MEDICAL,3.8,(780)-555-2006
AB,ALBERTA,AIRDRIE,AIRDRIE CIVIC RELIEF CENTRE,SHELTER,2.9,(403)-555-2007
AB,ALBERTA,FORT MCMURRAY,FORT MCMURRAY EMERGENCY HUB,SUPPLIES,7.1,(780)-555-2008
AB,ALBERTA,SPRUCE GROVE,SPRUCE GROVE RELIEF SHELTER,SHELTER,4.2,(780)-555-2009
AB,ALBERTA,OKOTOKS,OKOTOKS HEALTH STATION,MEDICAL,5.5,(403)-555-2010
SK,SASKATCHEWAN,REGINA,REGINA RELIEF CENTRE,SUPPLIES,3.5,(306)-555-3001
SK,SASKATCHEWAN,SASKATOON,SASKATOON CIVIC SHELTER,SHELTER,2.8,(306)-555-3002
SK,SASKATCHEWAN,PRINCE ALBERT,PRINCE ALBERT EMERGENCY HUB,SHELTER,4.6,(306)-555-3003
SK,SASKATCHEWAN,MOOSE JAW,MOOSE JAW RELIEF STATION,SUPPLIES,5.0,(306)-555-3004
SK,SASKATCHEWAN,SWIFT CURRENT,SWIFT CURRENT MEDICAL CENTRE,MEDICAL,6.3,(306)-555-3005
SK,SASKATCHEWAN,YORKTON,YORKTON CIVIC SHELTER,SHELTER,4.9,(306)-555-3006
SK,SASKATCHEWAN,ESTEVAN,ESTEVAN RELIEF WAREHOUSE,SUPPLIES,7.4,(306)-555-3007
SK,SASKATCHEWAN,NORTH BATTLEFORD,NORTH BATTLEFORD RELIEF HUB,SUPPLIES,5.6,(306)-555-3008
MB,MANITOBA,WINNIPEG,WINNIPEG GRACE HOSPITAL,MEDICAL,2.1,(204)-555-4001
MB,MANITOBA,BRANDON,BRANDON COMMUNITY SHELTER,SHELTER,3.8,(204)-555-4002
MB,MANITOBA,STEINBACH,STEINBACH RELIEF HUB,SUPPLIES,5.4,(204)-555-4003
MB,MANITOBA,THOMPSON,THOMPSON MEDICAL RELIEF,MEDICAL,7.2,(204)-555-4004
MB,MANITOBA,SELKIRK,SELKIRK EMERGENCY SHELTER,SHELTER,4.5,(204)-555-4005
MB,MANITOBA,PORTAGE LA PRAIRIE,PORTAGE RELIEF DEPOT,SUPPLIES,6.1,(204)-555-4006
MB,MANITOBA,DAUPHIN,DAUPHIN RELIEF HUB,SUPPLIES,7.0,(204)-555-4007
MB,MANITOBA,THE PAS,THE PAS HEALTH CENTRE,MEDICAL,8.3,(204)-555-4008
ON,ONTARIO,TORONTO,TORONTO CIVIC CENTRE,SHELTER,2.3,(416)-555-5001
ON,ONTARIO,OTTAWA,OTTAWA RELIEF HUB,SUPPLIES,3.1,(613)-555-5002
ON,ONTARIO,MISSISSAUGA,MISSISSAUGA MEDICAL CENTRE,MEDICAL,4.6,(905)-555-5003
ON,ONTARIO,BRAMPTON,BRAMPTON CIVIC SHELTER,SHELTER,3.9,(905)-555-5004
ON,ONTARIO,HAMILTON,HAMILTON RED CROSS DEPOT,SUPPLIES,2.8,(905)-555-5005
ON,ONTARIO,LONDON,LONDON HEALTH CENTRE,MEDICAL,3.7,(519)-555-5006
ON,ONTARIO,WINDSOR,WINDSOR COMMUNITY SHELTER,SHELTER,4.0,(519)-555-5007
ON,ONTARIO,WATERLOO,WATERLOO RELIEF WAREHOUSE,SUPPLIES,2.5,(519)-555-5008
ON,ONTARIO,KINGSTON,KINGSTON SUPPORT CENTRE,SHELTER,3.4,(613)-555-5009
ON,ONTARIO,BARRIE,BARRIE RELIEF HUB,SUPPLIES,4.2,(705)-555-5010
ON,ONTARIO,GUELPH,GUELPH CIVIC SHELTER,SHELTER,3.3,(519)-555-5011
ON,ONTARIO,THUNDER BAY,THUNDER BAY HEALTH CENTRE,MEDICAL,5.1,(807)-555-5012
ON,ONTARIO,PETERBOROUGH,PETERBOROUGH SUPPLY DEPOT,SUPPLIES,4.8,(705)-555-5013
ON,ONTARIO,NIAGARA FALLS,NIAGARA FALLS EMERGENCY SHELTER,SHELTER,3.7,(905)-555-5014
